Category,Language,Level
data science,english,Advanced
data science,english,Advanced
data science,english,Advanced
business,english,Intermediate
data science,english,Intermediate
data science,english,Intermediate
data science,english,Intermediate
data science,english,Advanced
data science,english,Advanced
information technology,english,Intermediate
information technology,english,Advanced
computer science,english,Intermediate
computer science,english,Advanced
information technology,english,Beginner
computer science,english,Intermediate
information technology,english,Advanced
information technology,english,Beginner
data science,english,Intermediate
business,english,Intermediate
computer science,english,Intermediate
computer science,english,Advanced
business,english,Beginner
data science,english,Beginner
business,english,Advanced
data science,english,Intermediate
business,english,Advanced
data science,english,Advanced
business,english,Intermediate
data science,english,Beginner
business,english,Intermediate
business,english,Beginner
computer science,english,Intermediate
business,english,Beginner
art humanity,english,Intermediate
information technology,english,Beginner
language learning,english,Advanced
business,english,Intermediate
business,english,Intermediate
data science,english,Intermediate
business,english,Advanced
business,english,Intermediate
business,english,Intermediate
business,english,Beginner
data science,english,Beginner
computer science,english,Intermediate
business,english,Intermediate
data science,english,Beginner
business,english,Beginner
information technology,english,Intermediate
data science,english,Advanced
computer science,english,Intermediate
data science,english,Beginner
computer science,english,Advanced
business,english,Advanced
computer science,english,Intermediate
data science,english,Beginner
data science,english,Advanced
information technology,english,Advanced
business,english,Advanced
data science,english,Advanced
business,english,Beginner
personal development,english,Intermediate
business,english,Intermediate
language learning,english,Intermediate
business,english,Beginner
art humanity,english,Beginner
business,english,Advanced
business,english,Beginner
art humanity,english,Beginner
computer science,english,Intermediate
computer science,english,Beginner
business,english,Beginner
data science,english,Intermediate
social science,english,Advanced
information technology,english,Intermediate
business,english,Beginner
data science,english,Intermediate
data science,english,Intermediate
data science,english,Advanced
art humanity,english,Advanced
computer science,english,Advanced
business,english,Advanced
business,english,Beginner
art humanity,english,Beginner
health,english,Beginner
data science,english,Advanced
business,english,Advanced
art humanity,english,Intermediate
information technology,english,Advanced
information technology,english,Beginner
business,english,Beginner
business,english,Intermediate
business,english,Advanced
art humanity,english,Beginner
computer science,english,Beginner
business,english,Advanced
data science,english,Intermediate
data science,english,Advanced
business,english,Intermediate
business,english,Advanced
business,english,Advanced
computer science,english,Beginner
computer science,english,Beginner
business,english,Advanced
information technology,english,Intermediate
information technology,english,Intermediate
business,english,Advanced
computer science,english,Beginner
computer science,english,Intermediate
computer science,english,Intermediate
business,english,Beginner
information technology,english,Advanced
social science,english,Advanced
computer science,english,Intermediate
data science,english,Intermediate
business,english,Intermediate
art humanity,english,Beginner
data science,english,Beginner
business,english,Beginner
personal development,english,Beginner
business,english,Beginner
business,english,Beginner
business,english,Intermediate
social science,english,Intermediate
business,english,Intermediate
computer science,english,Beginner
personal development,english,Advanced
health,english,Advanced
business,english,Beginner
health,english,Beginner
computer science,english,Intermediate
computer science,english,Intermediate
business,english,Advanced
health,english,Advanced
business,english,Intermediate
data science,english,Beginner
business,english,Intermediate
data science,english,Beginner
computer science,english,Advanced
health,english,Advanced
physical science engineering,english,Advanced
business,english,Intermediate
business,english,Advanced
art humanity,english,Beginner
data science,english,Intermediate
art humanity,english,Intermediate
business,english,Advanced
business,english,Advanced
computer science,english,Beginner
data science,english,Intermediate
personal development,english,Advanced
art humanity,english,Intermediate
business,english,Intermediate
business,english,Intermediate
computer science,english,Advanced
business,english,Beginner
information technology,english,Advanced
computer science,english,Advanced
health,english,Advanced
data science,english,Intermediate
data science,english,Intermediate
physical science engineering,english,Advanced
health,english,Beginner
health,english,Intermediate
business,english,Intermediate
health,english,Beginner
business,english,Beginner
art humanity,english,Beginner
computer science,english,Beginner
computer science,english,Intermediate
business,english,Intermediate
computer science,english,Intermediate
data science,english,Advanced
business,english,Intermediate
business,english,Intermediate
data science,english,Beginner
health,english,Advanced
business,english,Beginner
business,english,Intermediate
language learning,english,Beginner
computer science,english,Beginner
computer science,english,Beginner
business,english,Advanced
health,english,Beginner
computer science,english,Beginner
business,english,Intermediate
business,english,Intermediate
art humanity,english,Advanced
business,english,Advanced
physical science engineering,english,Beginner
health,english,Beginner
business,english,Advanced
business,english,Beginner
data science,english,Advanced
business,english,Beginner
health,english,Intermediate
computer science,english,Beginner
business,english,Intermediate
business,english,Advanced
health,english,Intermediate
physical science engineering,english,Intermediate
business,english,Intermediate
data science,english,Advanced
business,english,Advanced
computer science,english,Intermediate
computer science,english,Intermediate
computer science,english,Advanced
physical science engineering,english,Intermediate
math logic,english,Advanced
computer science,english,Intermediate
computer science,english,Advanced
computer science,english,Advanced
language learning,english,Beginner
information technology,english,Advanced
physical science engineering,english,Intermediate
health,english,Advanced
business,english,Beginner
business,english,Intermediate
physical science engineering,english,Advanced
computer science,english,Advanced
computer science,english,Advanced
language learning,english,Beginner
art humanity,english,Intermediate
computer science,english,Intermediate
business,english,Intermediate
business,english,Intermediate
data science,english,Beginner
business,english,Beginner
physical science engineering,english,Intermediate
computer science,english,Beginner
information technology,english,Intermediate
physical science engineering,english,Advanced
data science,english,Beginner
computer science,english,Intermediate
health,english,Intermediate
business,english,Beginner
language learning,english,Beginner
health,english,Advanced
language learning,english,Beginner
data science,english,Intermediate
business,english,Intermediate
data science,english,Beginner
computer science,english,Advanced
health,english,Advanced
data science,english,Intermediate
information technology,english,Beginner
business,english,Beginner
information technology,english,Intermediate
data science,english,Beginner
computer science,english,Beginner
physical science engineering,english,Beginner
data science,english,Beginner
computer science,english,Advanced
business,english,Beginner
business,english,Intermediate
business,english,Intermediate
business,english,Intermediate
computer science,english,Advanced
information technology,english,Advanced
computer science,english,Beginner
data science,english,Advanced
business,english,Beginner
computer science,english,Beginner
data science,english,Beginner
computer science,english,Advanced
business,english,Advanced
business,english,Intermediate
health,english,Advanced
physical science engineering,english,Beginner
business,english,Beginner
data science,english,Intermediate
business,english,Advanced
physical science engineering,english,Intermediate
data science,english,Intermediate
physical science engineering,english,Advanced
business,english,Intermediate
personal development,english,Beginner
health,english,Intermediate
business,english,Beginner
data science,english,Beginner
business,english,Advanced
computer science,english,Advanced
business,english,Advanced
health,english,Advanced
business,english,Beginner
data science,english,Beginner
business,english,Intermediate
business,english,Beginner
business,english,Intermediate
math logic,english,Beginner
business,english,Advanced
health,english,Advanced
social science,english,Intermediate
business,english,Intermediate
business,english,Intermediate
business,english,Intermediate
information technology,english,Intermediate
business,english,Intermediate
social science,english,Intermediate
business,english,Intermediate
physical science engineering,english,Beginner
computer science,english,Advanced
business,english,Intermediate
information technology,english,Intermediate
art humanity,english,Beginner
business,english,Advanced
computer science,english,Beginner
math logic,english,Intermediate
business,english,Advanced
data science,english,Intermediate
business,english,Intermediate
business,english,Beginner
information technology,english,Intermediate
health,english,Beginner
business,english,Intermediate
information technology,english,Intermediate
computer science,english,Advanced
health,english,Beginner
data science,english,Advanced
personal development,english,Beginner
art humanity,english,Beginner
physical science engineering,english,Intermediate
data science,english,Advanced
data science,english,Advanced
social science,english,Intermediate
art humanity,english,Beginner
business,english,Intermediate
computer science,english,Beginner
health,english,Beginner
health,english,Beginner
data science,english,Beginner
business,english,Beginner
information technology,english,Beginner
data science,english,Beginner
health,english,Intermediate
social science,english,Advanced
physical science engineering,english,Advanced
computer science,english,Advanced
computer science,english,Advanced
health,english,Advanced
physical science engineering,english,Intermediate
physical science engineering,english,Beginner
computer science,english,Intermediate
business,english,Advanced
business,english,Advanced
social science,english,Intermediate
information technology,english,Intermediate
data science,english,Intermediate
computer science,english,Advanced
social science,english,Intermediate
language learning,english,Advanced
health,english,Advanced
business,english,Intermediate
data science,english,Advanced
information technology,english,Advanced
business,english,Beginner
information technology,english,Advanced
physical science engineering,english,Intermediate
health,english,Intermediate
physical science engineering,english,Advanced
computer science,english,Advanced
business,english,Advanced
language learning,english,Intermediate
data science,english,Advanced
art humanity,english,Advanced
information technology,english,Beginner
business,english,Beginner
computer science,english,Intermediate
business,english,Advanced
business,english,Intermediate
data science,english,Advanced
business,english,Beginner
computer science,english,Intermediate
health,english,Intermediate
language learning,english,Advanced
language learning,english,Advanced
physical science engineering,english,Advanced
computer science,english,Beginner
math logic,english,Intermediate
business,english,Intermediate
business,english,Intermediate
computer science,english,Advanced
business,english,Beginner
business,english,Advanced
business,english,Advanced
language learning,english,Beginner
health,english,Intermediate
business,english,Intermediate
computer science,english,Beginner
computer science,english,Intermediate
data science,english,Intermediate
language learning,english,Advanced
computer science,english,Advanced
information technology,english,Beginner
language learning,english,Beginner
health,english,Intermediate
data science,english,Beginner
physical science engineering,english,Beginner
physical science engineering,english,Intermediate
computer science,english,Beginner
health,english,Intermediate
business,english,Intermediate
personal development,english,Advanced
business,english,Beginner
computer science,english,Beginner
personal development,english,Beginner
business,english,Intermediate
computer science,english,Beginner
health,english,Intermediate
personal development,english,Intermediate
personal development,english,Advanced
business,english,Intermediate
social science,english,Advanced
data science,english,Beginner
data science,english,Beginner
business,english,Intermediate
data science,english,Advanced
computer science,english,Beginner
information technology,english,Beginner
data science,english,Advanced
business,english,Intermediate
computer science,english,Advanced
information technology,english,Beginner
information technology,english,Beginner
data science,english,Intermediate
information technology,english,Intermediate
data science,english,Beginner
computer science,english,Intermediate
data science,english,Intermediate
计算机科学,english,Intermediate
information technology,english,Intermediate
information technology,english,Intermediate
information technology,english,Beginner
data science,english,Advanced
computer science,english,Beginner
business,english,Beginner
business,english,Beginner
data science,english,Advanced
computer science,english,Advanced
computer science,english,Advanced
data science,english,Beginner
computer science,english,Advanced
information technology,english,Beginner
ciencia de datos,spanish,Beginner
business,english,Advanced
negocios,spanish,Advanced
information technology,english,Intermediate
language learning,english,Advanced
business,english,Beginner
ciencias de la computación,spanish,Intermediate
information technology,english,Advanced
data science,english,Intermediate
information technology,english,Advanced
data science,portuguese brazilian,Advanced
information technology,english,Beginner
negócios,english,Advanced
information technology,english,Beginner
information technology,english,Intermediate
information technology,english,Beginner
information technology,english,Beginner
business,english,Advanced
business,english,Beginner
data science,english,Intermediate
computer science,portuguese brazilian,Advanced
business,portuguese brazilian,Intermediate
computer science,english,Intermediate
data science,french,Advanced
business,french,Intermediate
データサイエンス,japanese,Intermediate
business,english,Beginner
data science,arabic,Beginner
data science,english,Advanced
computer science,french,Advanced
information technology,english,Advanced
information technology,german,Advanced
information technology,french,Intermediate
business,german,Intermediate
business,spanish,Beginner
data science,japanese,Beginner
data science,indonesian,Intermediate
data science,german,Intermediate
data science,english,Intermediate
data science,english,Intermediate
computer science,english,Advanced
information technology,english,Beginner
information technology,english,Advanced
information technology,spanish,Beginner
tecnologia da informação,portuguese brazilian,Beginner
computer science,english,Beginner
computer science,english,Beginner
data science,english,Beginner
social science,english,Beginner
computer science,spanish,Beginner
computer science,spanish,Intermediate
business,english,Intermediate
data science,english,Intermediate
business,english,Intermediate
computer science,english,Beginner
social science,english,Advanced
business,french,Beginner
personal development,english,Beginner
business,english,Beginner
information technology,english,Advanced
data science,english,Beginner
business,english,Beginner
social science,english,Beginner
business,english,Beginner
personal development,english,Advanced
health,english,Beginner
business,english,Intermediate
health,english,Intermediate
business,english,Beginner
business,english,Beginner
health,english,Intermediate
health,spanish,Intermediate
business,english,Intermediate
personal development,english,Intermediate
information technology,english,Intermediate
computer science,english,Advanced
social science,english,Advanced
computer science,english,Beginner
computer science,english,Intermediate
business,english,Beginner
social science,english,Beginner
business,english,Intermediate
business,english,Intermediate
business,english,Beginner
business,english,Advanced
business,english,Beginner
health,english,Advanced
health,english,Beginner
business,english,Beginner
health,english,Advanced
social science,english,Advanced
language learning,french,Beginner
health,english,Advanced
physical science engineering,english,Intermediate
business,japanese,Advanced
social science,english,Advanced
computer science,english,Intermediate
computer science,english,Intermediate
information technology,english,Advanced
physical science engineering,english,Beginner
social science,english,Advanced
business,english,Beginner
information technology,english,Advanced
health,spanish,Beginner
social science,english,Beginner
art humanity,english,Beginner
business,english,Intermediate
social science,english,Advanced
social science,english,Beginner
health,english,Beginner
health,english,Intermediate
physical science engineering,english,Beginner
physical science engineering,english,Beginner
physical science engineering,english,Intermediate
physical science engineering,english,Intermediate
computer science,english,Advanced
business,english,Advanced
business,english,Intermediate
health,english,Intermediate
personal development,english,Advanced
business,english,Beginner
business,english,Beginner
physical science engineering,english,Beginner
social science,english,Beginner
physical science engineering,english,Advanced
business,english,Beginner
computer science,english,Advanced
business,french,Beginner
business,english,Intermediate
business,french,Beginner
health,french,Advanced
business,english,Intermediate
physical science engineering,english,Advanced
social science,english,Advanced
business,english,Beginner
business,english,Beginner
business,english,Advanced
social science,english,Intermediate
computer science,english,Intermediate
health,english,Beginner
health,english,Intermediate
business,english,Intermediate
data science,english,Intermediate
social science,english,Beginner
social science,english,Intermediate
health,english,Intermediate
business,english,Advanced
business,english,Beginner
computer science,english,Beginner
health,english,Intermediate
information technology,english,Intermediate
physical science engineering,english,Advanced
business,english,Beginner
art humanity,english,Advanced
business,english,Advanced
business,english,Intermediate
art humanity,english,Intermediate
business,english,Beginner
art humanity,english,Beginner
health,english,Intermediate
computer science,english,Beginner
math logic,english,Beginner
health,english,Beginner
health,english,Advanced
social science,english,Advanced
social science,english,Beginner
computer science,english,Intermediate
business,english,Intermediate
health,english,Advanced
business,english,Advanced
computer science,english,Beginner
social science,english,Beginner
personal development,english,Advanced
business,english,Advanced
health,english,Advanced
physical science engineering,english,Intermediate
data science,english,Advanced
art humanity,english,Intermediate
language learning,english,Intermediate
business,english,Intermediate
business,english,Intermediate
data science,english,Advanced
art humanity,english,Beginner
business,english,Intermediate
language learning,english,Advanced
physical science engineering,english,Intermediate
data science,english,Beginner
social science,english,Advanced
social science,english,Intermediate
data science,english,Intermediate
health,english,Intermediate
health,english,Intermediate
computer science,english,Intermediate
business,english,Advanced
personal development,english,Intermediate
physical science engineering,english,Advanced
computer science,english,Beginner
business,english,Advanced
computer science,english,Beginner
social science,english,Advanced
social science,english,Advanced
business,english,Advanced
business,spanish,Advanced
business,english,Advanced
business,english,Intermediate
business,english,Advanced
data science,english,Advanced
data science,english,Beginner
business,english,Advanced
business,english,Intermediate
information technology,english,Advanced
computer science,english,Beginner
data science,english,Beginner
art humanity,english,Beginner
business,english,Advanced
data science,english,Advanced
personal development,english,Beginner
business,english,Advanced
business,english,Advanced
data science,english,Beginner
information technology,english,Advanced
data science,english,Beginner
health,english,Beginner
information technology,english,Intermediate
data science,english,Intermediate
business,english,Intermediate
computer science,english,Intermediate
computer science,english,Advanced
computer science,english,Beginner
data science,english,Beginner
health,english,Advanced
data science,english,Beginner
data science,english,Beginner
business,english,Beginner
health,english,Advanced
data science,english,Beginner
health,english,Beginner
business,english,Beginner
business,english,Beginner
data science,english,Advanced
data science,english,Advanced
data science,english,Advanced
business,english,Beginner
information technology,english,Intermediate
computer science,english,Intermediate
business,english,Advanced
data science,english,Advanced
data science,english,Beginner
data science,english,Beginner
business,english,Beginner
business,english,Intermediate
computer science,english,Advanced
information technology,english,Advanced
business,english,Intermediate
business,english,Beginner
data science,english,Advanced
business,english,Intermediate
data science,english,Advanced
data science,english,Intermediate
social science,english,Intermediate
information technology,english,Intermediate
business,english,Beginner
business,english,Intermediate
data science,english,Beginner
information technology,english,Beginner
data science,english,Advanced
business,english,Beginner
information technology,english,Beginner
data science,english,Intermediate
business,english,Advanced
computer science,english,Beginner
personal development,english,Advanced
business,english,Beginner
health,english,Advanced
data science,english,Advanced
personal development,english,Intermediate
health,english,Advanced
business,english,Intermediate
data science,english,Beginner
data science,english,Advanced
health,english,Intermediate
data science,english,Beginner
information technology,english,Beginner
computer science,english,Advanced
language learning,english,Intermediate
business,english,Intermediate
business,english,Advanced
health,english,Advanced
information technology,english,Advanced
computer science,english,Advanced
business,english,Beginner
health,english,Advanced
data science,english,Beginner
data science,english,Beginner
business,english,Intermediate
data science,english,Intermediate
data science,english,Advanced
social science,english,Intermediate
business,english,Intermediate
computer science,english,Intermediate
business,english,Beginner
business,english,Advanced
data science,english,Intermediate
business,english,Advanced
data science,english,Intermediate
computer science,english,Intermediate
social science,english,Advanced
business,english,Advanced
health,english,Advanced
health,english,Advanced
data science,english,Beginner
health,english,Intermediate
business,english,Beginner
language learning,english,Beginner
business,english,Beginner
social science,english,Intermediate
data science,english,Beginner
computer science,english,Intermediate
business,english,Intermediate
data science,english,Intermediate
computer science,english,Advanced
computer science,english,Advanced
business,english,Beginner
computer science,english,Advanced
information technology,english,Beginner
business,english,Intermediate
health,english,Advanced
social science,english,Beginner
business,english,Beginner
health,english,Intermediate
business,english,Advanced
business,english,Intermediate
information technology,english,Intermediate
computer science,english,Beginner
information technology,english,Advanced
health,english,Intermediate
art humanity,english,Advanced
data science,english,Advanced
language learning,english,Beginner
business,english,Advanced
math logic,english,Advanced
data science,english,Intermediate
computer science,english,Intermediate
data science,english,Advanced
computer science,english,Beginner
business,english,Advanced
business,english,Advanced
business,spanish,Intermediate
data science,english,Advanced
data science,english,Beginner
health,english,Intermediate
health,english,Beginner
math logic,english,Advanced
physical science engineering,english,Beginner
health,english,Advanced
data science,english,Advanced
information technology,english,Advanced
business,english,Beginner
computer science,english,Intermediate
computer science,english,Beginner
social science,english,Intermediate
business,english,Beginner
computer science,english,Beginner
computer science,english,Beginner
business,english,Beginner
data science,english,Intermediate
information technology,english,Advanced
business,english,Advanced
health,english,Beginner
business,english,Intermediate
business,english,Advanced
computer science,english,Advanced
personal development,english,Intermediate
business,english,Beginner
health,english,Advanced
computer science,english,Intermediate
health,english,Intermediate
business,french,Advanced
health,english,Beginner
data science,spanish,Intermediate
data science,english,Intermediate
health,english,Beginner
business,spanish,Beginner
computer science,spanish,Advanced
art humanity,english,Beginner
physical science engineering,english,Advanced
data science,english,Intermediate
business,english,Advanced
data science,english,Beginner
business,english,Beginner
business,english,Beginner
business,english,Advanced
health,english,Advanced
data science,english,Advanced
business,english,Beginner
business,english,Beginner
health,english,Intermediate
data science,english,Intermediate
business,english,Intermediate
data science,english,Beginner
art humanity,english,Intermediate
social science,english,Advanced
business,english,Advanced
computer science,english,Beginner
computer science,english,Beginner
health,english,Advanced
computer science,english,Advanced
data science,english,Beginner
social science,english,Advanced
language learning,english,Beginner
business,english,Beginner
language learning,english,Intermediate
data science,english,Beginner
art humanity,english,Advanced
business,english,Advanced
business,english,Advanced
business,english,Beginner
data science,english,Intermediate
information technology,english,Intermediate
computer science,english,Intermediate
information technology,english,Beginner
business,english,Beginner
business,english,Advanced
business,english,Beginner
physical science engineering,english,Advanced
data science,english,Advanced
business,english,Intermediate
art humanity,english,Intermediate
business,english,Beginner
data science,english,Beginner
health,english,Intermediate
business,spanish,Advanced
information technology,english,Beginner
physical science engineering,english,Advanced
business,english,Advanced
language learning,english,Beginner
data science,english,Beginner
social science,english,Advanced
business,english,Advanced
computer science,english,Intermediate
data science,english,Intermediate
information technology,english,Intermediate
data science,english,Beginner
business,english,Intermediate
computer science,english,Beginner
art humanity,english,Advanced
business,english,Beginner
art humanity,english,Advanced
language learning,english,Intermediate
business,english,Advanced
health,english,Intermediate
business,english,Intermediate
physical science engineering,english,Intermediate
physical science engineering,english,Beginner
social science,english,Intermediate
data science,english,Intermediate
information technology,english,Intermediate
business,english,Advanced
business,english,Beginner
computer science,english,Advanced
business,portuguese brazilian,Intermediate
information technology,english,Advanced
personal development,english,Intermediate
business,english,Beginner
business,english,Beginner
health,english,Intermediate
health,english,Intermediate
social science,english,Intermediate
business,english,Advanced
business,english,Beginner
business,english,Intermediate
health,english,Beginner
personal development,english,Beginner
data science,english,Intermediate
business,english,Intermediate
business,english,Beginner
computer science,english,Beginner
data science,english,Intermediate
health,english,Beginner
data science,english,Advanced
